"Step","quiet-durian-31 - Test_Mean_Angular_Distance_EPNP","quiet-durian-31 - Test_Mean_Angular_Distance_EPNP__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_EPNP__MAX","quiet-durian-31 - Test_Mean_Angular_Distance_ITERATIVE","quiet-durian-31 - Test_Mean_Angular_Distance_ITERATIVE__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_ITERATIVE__MAX","quiet-durian-31 - Test_Mean_Angular_Distance_SQPNP","quiet-durian-31 - Test_Mean_Angular_Distance_SQPNP__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_SQPNP__MAX","quiet-durian-31 - Test_Mean_Angular_Distance_IPPE","quiet-durian-31 - Test_Mean_Angular_Distance_IPPE__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_IPPE__MAX","quiet-durian-31 - Test_Mean_Angular_Distance_P3P","quiet-durian-31 - Test_Mean_Angular_Distance_P3P__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_P3P__MAX"
"1672","","","","25.1452251813746","25.1452251813746","25.1452251813746","","","","","","","","",""
"1673","126.72576260903125","126.72576260903125","126.72576260903125","","","","","","","","","","","",""
"1674","","","","","","","","","","","","","162.77472777599598","162.77472777599598","162.77472777599598"
"1678","","","","","","","","","","13.922736261356533","13.922736261356533","13.922736261356533","","",""
"1679","","","","","","","75.7736529234078","75.7736529234078","75.7736529234078","","","","","",""
"1681","","","","14.002315656777284","14.002315656777284","14.002315656777284","","","","","","","","",""
"1682","164.25418648011347","164.25418648011347","164.25418648011347","","","","","","","","","","","",""
"1683","","","","","","","","","","","","","159.11318187667746","159.11318187667746","159.11318187667746"
"1687","","","","","","","","","","64.86327533864939","64.86327533864939","64.86327533864939","","",""
"1688","","","","","","","124.71588315415211","124.71588315415211","124.71588315415211","","","","","",""
"1690","","","","40.440341510532676","40.440341510532676","40.440341510532676","","","","","","","","",""
"1691","102.26742459713277","102.26742459713277","102.26742459713277","","","","","","","","","","","",""
"1692","","","","","","","","","","","","","32.24730360111056","32.24730360111056","32.24730360111056"
"1696","","","","","","","","","","40.04263095286683","40.04263095286683","40.04263095286683","","",""
"1697","","","","","","","72.31747055650064","72.31747055650064","72.31747055650064","","","","","",""
"1699","","","","25.409203994686294","25.409203994686294","25.409203994686294","","","","","","","","",""
"1700","79.50056534841268","79.50056534841268","79.50056534841268","","","","","","","","","","","",""
"1701","","","","","","","","","","","","","38.42345236366748","38.42345236366748","38.42345236366748"
"1705","","","","","","","","","","63.99075016242435","63.99075016242435","63.99075016242435","","",""
"1706","","","","","","","74.40003486500616","74.40003486500616","74.40003486500616","","","","","",""
"1708","","","","12.261152706620862","12.261152706620862","12.261152706620862","","","","","","","","",""
"1709","44.29619418263661","44.29619418263661","44.29619418263661","","","","","","","","","","","",""
"1710","","","","","","","","","","","","","113.36475400107362","113.36475400107362","113.36475400107362"
"1714","","","","","","","","","","45.026177455776605","45.026177455776605","45.026177455776605","","",""
"1715","","","","","","","45.87893405509172","45.87893405509172","45.87893405509172","","","","","",""
"1717","","","","113.44523747511488","113.44523747511488","113.44523747511488","","","","","","","","",""
"1718","6.623117890513697","6.623117890513697","6.623117890513697","","","","","","","","","","","",""
"1719","","","","","","","","","","","","","35.60002511618842","35.60002511618842","35.60002511618842"
"1723","","","","","","","","","","59.015370624795096","59.015370624795096","59.015370624795096","","",""
"1724","","","","","","","98.13908925245306","98.13908925245306","98.13908925245306","","","","","",""
"1726","","","","26.84965051805699","26.84965051805699","26.84965051805699","","","","","","","","",""
"1727","88.02617861300293","88.02617861300293","88.02617861300293","","","","","","","","","","","",""
"1728","","","","","","","","","","","","","138.2690079116523","138.2690079116523","138.2690079116523"
"1732","","","","","","","","","","30.379832257921265","30.379832257921265","30.379832257921265","","",""
"1733","","","","","","","4.716330641212551","4.716330641212551","4.716330641212551","","","","","",""
