"Step","zany-disco-38 - Test_Mean_Angular_Distance_EPNP","zany-disco-38 - Test_Mean_Angular_Distance_EPNP__MIN","zany-disco-38 - Test_Mean_Angular_Distance_EPNP__MAX","zany-disco-38 - Test_Mean_Angular_Distance_ITERATIVE","zany-disco-38 - Test_Mean_Angular_Distance_ITERATIVE__MIN","zany-disco-38 - Test_Mean_Angular_Distance_ITERATIVE__MAX","zany-disco-38 - Test_Mean_Angular_Distance_SQPNP","zany-disco-38 - Test_Mean_Angular_Distance_SQPNP__MIN","zany-disco-38 - Test_Mean_Angular_Distance_SQPNP__MAX","zany-disco-38 - Test_Mean_Angular_Distance_P3P","zany-disco-38 - Test_Mean_Angular_Distance_P3P__MIN","zany-disco-38 - Test_Mean_Angular_Distance_P3P__MAX","zany-disco-38 - Test_Mean_Angular_Distance_AP3P","zany-disco-38 - Test_Mean_Angular_Distance_AP3P__MIN","zany-disco-38 - Test_Mean_Angular_Distance_AP3P__MAX"
"1672","","","","156.50878589499","156.50878589499","156.50878589499","","","","","","","","",""
"1673","160.60617097138018","160.60617097138018","160.60617097138018","","","","","","","","","","","",""
"1674","","","","","","","","","","173.12406876858384","173.12406876858384","173.12406876858384","","",""
"1677","","","","","","","","","","","","","173.1245183501466","173.1245183501466","173.1245183501466"
"1679","","","","","","","153.38506845937246","153.38506845937246","153.38506845937246","","","","","",""
"1681","","","","46.87371626133654","46.87371626133654","46.87371626133654","","","","","","","","",""
"1682","152.18455283082247","152.18455283082247","152.18455283082247","","","","","","","","","","","",""
"1683","","","","","","","","","","162.9843269995573","162.9843269995573","162.9843269995573","","",""
"1686","","","","","","","","","","","","","162.98429543720482","162.98429543720482","162.98429543720482"
"1688","","","","","","","42.80465766799779","42.80465766799779","42.80465766799779","","","","","",""
"1690","","","","42.84720206826901","42.84720206826901","42.84720206826901","","","","","","","","",""
"1691","17.302704433993142","17.302704433993142","17.302704433993142","","","","","","","","","","","",""
"1692","","","","","","","","","","32.60053120224873","32.60053120224873","32.60053120224873","","",""
"1695","","","","","","","","","","","","","32.45646666281172","32.45646666281172","32.45646666281172"
"1697","","","","","","","1.3788961133899704","1.3788961133899704","1.3788961133899704","","","","","",""
"1699","","","","114.35209658449395","114.35209658449395","114.35209658449395","","","","","","","","",""
"1700","44.0930011093059","44.0930011093059","44.0930011093059","","","","","","","","","","","",""
"1701","","","","","","","","","","44.0930011093059","44.0930011093059","44.0930011093059","","",""
"1704","","","","","","","","","","","","","34.29244881090506","34.29244881090506","34.29244881090506"
"1706","","","","","","","2.5718910581005616","2.5718910581005616","2.5718910581005616","","","","","",""
"1708","","","","2.8850759091677958","2.8850759091677958","2.8850759091677958","","","","","","","","",""
"1709","158.6852033628697","158.6852033628697","158.6852033628697","","","","","","","","","","","",""
"1710","","","","","","","","","","19.27501894791905","19.27501894791905","19.27501894791905","","",""
"1713","","","","","","","","","","","","","19.275018962269","19.275018962269","19.275018962269"
"1715","","","","","","","165.08272946540126","165.08272946540126","165.08272946540126","","","","","",""
"1717","","","","11.264248822300686","11.264248822300686","11.264248822300686","","","","","","","","",""
"1718","178.08446641639526","178.08446641639526","178.08446641639526","","","","","","","","","","","",""
"1719","","","","","","","","","","52.52154913878185","52.52154913878185","52.52154913878185","","",""
"1722","","","","","","","","","","","","","52.52154891504192","52.52154891504192","52.52154891504192"
