"Step","genial-sweep-15 - Train_Mean_Angular","genial-sweep-15 - Train_Mean_Angular__MIN","genial-sweep-15 - Train_Mean_Angular__MAX","hopeful-sweep-14 - Train_Mean_Angular","hopeful-sweep-14 - Train_Mean_Angular__MIN","hopeful-sweep-14 - Train_Mean_Angular__MAX","deep-sweep-13 - Train_Mean_Angular","deep-sweep-13 - Train_Mean_Angular__MIN","deep-sweep-13 - Train_Mean_Angular__MAX","gallant-sweep-12 - Train_Mean_Angular","gallant-sweep-12 - Train_Mean_Angular__MIN","gallant-sweep-12 - Train_Mean_Angular__MAX","visionary-sweep-11 - Train_Mean_Angular","visionary-sweep-11 - Train_Mean_Angular__MIN","visionary-sweep-11 - Train_Mean_Angular__MAX","resilient-sweep-10 - Train_Mean_Angular","resilient-sweep-10 - Train_Mean_Angular__MIN","resilient-sweep-10 - Train_Mean_Angular__MAX","fragrant-sweep-9 - Train_Mean_Angular","fragrant-sweep-9 - Train_Mean_Angular__MIN","fragrant-sweep-9 - Train_Mean_Angular__MAX","young-sweep-8 - Train_Mean_Angular","young-sweep-8 - Train_Mean_Angular__MIN","young-sweep-8 - Train_Mean_Angular__MAX","fine-sweep-6 - Train_Mean_Angular","fine-sweep-6 - Train_Mean_Angular__MIN","fine-sweep-6 - Train_Mean_Angular__MAX","vivid-sweep-5 - Train_Mean_Angular","vivid-sweep-5 - Train_Mean_Angular__MIN","vivid-sweep-5 - Train_Mean_Angular__MAX"
"3","2.4289140701293945","2.4289140701293945","2.4289140701293945","2.4289140701293945","2.4289140701293945","2.4289140701293945","2.2866973876953125","2.2866973876953125","2.2866973876953125","2.3098559379577637","2.3098559379577637","2.3098559379577637","2.4289140701293945","2.4289140701293945","2.4289140701293945","2.2866973876953125","2.2866973876953125","2.2866973876953125","2.7118349075317383","2.7118349075317383","2.7118349075317383","2.2721056938171387","2.2721056938171387","2.2721056938171387","2.7118349075317383","2.7118349075317383","2.7118349075317383","2.1737353801727295","2.1737353801727295","2.1737353801727295"
"6","1.5795857906341553","1.5795857906341553","1.5795857906341553","1.6841635704040527","1.6841635704040527","1.6841635704040527","2.340458869934082","2.340458869934082","2.340458869934082","2.1634082794189453","2.1634082794189453","2.1634082794189453","1.5038652420043945","1.5038652420043945","1.5038652420043945","2.275566816329956","2.275566816329956","2.275566816329956","2.4222936630249023","2.4222936630249023","2.4222936630249023","2.326723337173462","2.326723337173462","2.326723337173462","2.4489011764526367","2.4489011764526367","2.4489011764526367","2.3148152828216553","2.3148152828216553","2.3148152828216553"
"9","2.819617748260498","2.819617748260498","2.819617748260498","2.7604763507843018","2.7604763507843018","2.7604763507843018","2.311563491821289","2.311563491821289","2.311563491821289","2.3065686225891113","2.3065686225891113","2.3065686225891113","1.8189339637756348","1.8189339637756348","1.8189339637756348","2.2389488220214844","2.2389488220214844","2.2389488220214844","2.056978464126587","2.056978464126587","2.056978464126587","2.0502681732177734","2.0502681732177734","2.0502681732177734","2.0767993927001953","2.0767993927001953","2.0767993927001953","2.0913381576538086","2.0913381576538086","2.0913381576538086"
"12","1.861161708831787","1.861161708831787","1.861161708831787","1.8148717880249023","1.8148717880249023","1.8148717880249023","2.144078016281128","2.144078016281128","2.144078016281128","2.253629207611084","2.253629207611084","2.253629207611084","2.0507829189300537","2.0507829189300537","2.0507829189300537","2.199136257171631","2.199136257171631","2.199136257171631","1.9479811191558838","1.9479811191558838","1.9479811191558838","2.265737295150757","2.265737295150757","2.265737295150757","1.932555913925171","1.932555913925171","1.932555913925171","2.313948392868042","2.313948392868042","2.313948392868042"
"15","1.2295807600021362","1.2295807600021362","1.2295807600021362","1.1584856510162354","1.1584856510162354","1.1584856510162354","2.260563611984253","2.260563611984253","2.260563611984253","2.3620693683624268","2.3620693683624268","2.3620693683624268","2.3468847274780273","2.3468847274780273","2.3468847274780273","2.2464466094970703","2.2464466094970703","2.2464466094970703","2.408215045928955","2.408215045928955","2.408215045928955","2.420380115509033","2.420380115509033","2.420380115509033","2.3089942932128906","2.3089942932128906","2.3089942932128906","2.418977737426758","2.418977737426758","2.418977737426758"
"18","2.388681173324585","2.388681173324585","2.388681173324585","1.9790947437286377","1.9790947437286377","1.9790947437286377","2.0681188106536865","2.0681188106536865","2.0681188106536865","2.2564473152160645","2.2564473152160645","2.2564473152160645","2.183624029159546","2.183624029159546","2.183624029159546","2.1612563133239746","2.1612563133239746","2.1612563133239746","1.9346287250518799","1.9346287250518799","1.9346287250518799","2.199204206466675","2.199204206466675","2.199204206466675","2.0188074111938477","2.0188074111938477","2.0188074111938477","2.0114922523498535","2.0114922523498535","2.0114922523498535"
"21","1.6749311685562134","1.6749311685562134","1.6749311685562134","1.8628108501434326","1.8628108501434326","1.8628108501434326","2.2537522315979004","2.2537522315979004","2.2537522315979004","2.3022189140319824","2.3022189140319824","2.3022189140319824","2.0733659267425537","2.0733659267425537","2.0733659267425537","2.2239089012145996","2.2239089012145996","2.2239089012145996","2.491363525390625","2.491363525390625","2.491363525390625","2.2512407302856445","2.2512407302856445","2.2512407302856445","2.3657965660095215","2.3657965660095215","2.3657965660095215","2.256312370300293","2.256312370300293","2.256312370300293"
"24","1.9368562698364258","1.9368562698364258","1.9368562698364258","1.9813073873519897","1.9813073873519897","1.9813073873519897","2.1890549659729004","2.1890549659729004","2.1890549659729004","2.096141815185547","2.096141815185547","2.096141815185547","1.7598662376403809","1.7598662376403809","1.7598662376403809","2.0566413402557373","2.0566413402557373","2.0566413402557373","2.337343215942383","2.337343215942383","2.337343215942383","2.2153823375701904","2.2153823375701904","2.2153823375701904","2.251246690750122","2.251246690750122","2.251246690750122","2.5327723026275635","2.5327723026275635","2.5327723026275635"
"27","2.5063934326171875","2.5063934326171875","2.5063934326171875","2.4590742588043213","2.4590742588043213","2.4590742588043213","2.14084529876709","2.14084529876709","2.14084529876709","2.3307251930236816","2.3307251930236816","2.3307251930236816","1.8626673221588135","1.8626673221588135","1.8626673221588135","2.0154006481170654","2.0154006481170654","2.0154006481170654","2.5265235900878906","2.5265235900878906","2.5265235900878906","2.265158176422119","2.265158176422119","2.265158176422119","2.588487148284912","2.588487148284912","2.588487148284912","2.178581953048706","2.178581953048706","2.178581953048706"
"30","2.0406956672668457","2.0406956672668457","2.0406956672668457","1.9793044328689575","1.9793044328689575","1.9793044328689575","2.26444935798645","2.26444935798645","2.26444935798645","2.1116812229156494","2.1116812229156494","2.1116812229156494","2.12396502494812","2.12396502494812","2.12396502494812","2.278263568878174","2.278263568878174","2.278263568878174","2.193325996398926","2.193325996398926","2.193325996398926","2.28334903717041","2.28334903717041","2.28334903717041","2.1809661388397217","2.1809661388397217","2.1809661388397217","2.5362977981567383","2.5362977981567383","2.5362977981567383"
